id,sec,voltage,battery_remaining,current_drawn,ground_speed,air_speed,nav_roll,nav_pitch,nav_bearing,pitch,yaw,roll,alt,lat,lon,payload,distance_frm_home,velocity_x,velocity_y,velocity_z,mode,flight_time
1,2,16.476,94,0.59,0.04,0.04,NULL,NULL,322,0.0172579,-0.658727,0.00181036,0.82,37.5993721,126.8635995,NULL,NULL,-0.01,0.06,0,LOITER,2.83299
2,4,16.474,94,0.59,0.38,0.38,NULL,NULL,338,0.225694,-0.372624,0.0170589,1.12,37.599374,126.8636039,NULL,NULL,0.41,0,0,LOITER,4.87644
3,6,16.475,94,0.6,1.4,1.4,NULL,NULL,343,0.355188,-0.291711,0.134109,1.21,37.5993844,126.863592,NULL,NULL,0.01,-1.03,-0.07,LOITER,6.89186
4,8,16.47,94,0.59,0.16,0.16,NULL,NULL,313,-0.0319164,-0.815822,0.0433655,0.2,37.5993885,126.8635732,NULL,NULL,-0.4,0.73,-0.07,LOITER,8.91428
5,10,16.472,94,0.61,0.02,0.02,NULL,NULL,312,-0.0445871,-0.820723,0.0384296,0.22,37.5993892,126.8635722,NULL,NULL,-0.08,0.36,-0.03,LOITER,10.9267
6,12,16.471,94,0.59,0.03,0.03,NULL,NULL,312,-0.0487423,-0.823718,0.0355651,0.28,37.5993898,126.8635717,NULL,NULL,0.03,0.13,0,LOITER,12.9411
7,14,16.447,94,1.53,0.01,0.01,NULL,NULL,303,-0.0633839,-0.982461,0.0238659,0.29,37.5993911,126.8635714,NULL,NULL,0.09,-0.1,0,LOITER,14.9545
8,16,16.443,94,4.03,0.03,0.03,NULL,NULL,304,-0.0578703,-0.97645,0.0287389,0.27,37.5993938,126.8635688,NULL,NULL,0.16,-0.31,0,LOITER,16.968
9,18,16.063,94,14.75,0.28,0.28,NULL,NULL,303,-0.047633,-0.978085,-0.0278037,1.15,37.5993954,126.8635713,NULL,NULL,0.04,-0.09,0.73,LOITER,18.9784
10,20,16.047,94,12.8,0.46,0.46,NULL,NULL,305,-0.0740742,-0.955091,0.0100268,2.47,37.5993961,126.8635658,NULL,NULL,0.37,-0.65,0.18,LOITER,20.9898
11,22,16.021,93,12.49,0.27,0.27,NULL,NULL,305,0.0397427,-0.956024,-0.00197254,2.61,37.5993992,126.8635585,NULL,NULL,0.15,-0.22,-0.31,LOITER,23.0032
12,24,15.983,93,14.08,0.06,0.06,NULL,NULL,305,-0.00738734,-0.953033,-0.00110083,2.46,37.5993993,126.8635578,NULL,NULL,0.06,-0.09,0.06,LOITER,25.0166
13,26,15.972,93,13.84,0.1,0.1,NULL,NULL,305,-0.0155555,-0.954575,-0.00298301,2.51,37.5993992,126.8635575,NULL,NULL,0.08,0.02,0.01,LOITER,27.027
14,28,15.924,93,13.61,0.08,0.08,NULL,NULL,305,-0.0156688,-0.956426,-0.00321058,2.53,37.5993981,126.8635576,NULL,NULL,0.06,-0.06,0,LOITER,29.0385
15,30,15.924,93,13.63,0.12,0.12,NULL,NULL,305,-0.0304991,-0.9583,-0.00193101,2.55,37.5993974,126.8635581,NULL,NULL,0.1,-0.04,-0.01,LOITER,31.0499
16,32,15.889,93,13.71,0.1,0.1,NULL,NULL,305,-0.0169998,-0.956131,-0.000385516,2.5,37.5993982,126.863557,NULL,NULL,0.1,-0.05,0.03,LOITER,33.0633
17,34,15.873,93,13.78,0.08,0.08,NULL,NULL,305,-0.0185376,-0.956964,0.00407683,2.51,37.5993986,126.8635572,NULL,NULL,0.06,-0.01,0.03,LOITER,35.0787
18,36,15.859,92,13.94,0.08,0.08,NULL,NULL,305,-0.017769,-0.956863,-0.00983506,2.52,37.599399,126.8635581,NULL,NULL,0.09,-0.05,0,LOITER,37.0921
19,38,15.843,92,13.87,0.05,0.05,NULL,NULL,305,-0.00370551,-0.955,0.00835973,2.51,37.5993987,126.8635569,NULL,NULL,0.08,-0.01,0.01,LOITER,39.1045
20,40,15.826,92,13.75,0.11,0.11,NULL,NULL,305,-0.0191079,-0.954987,0.00294076,2.5,37.5993986,126.8635573,NULL,NULL,0.06,0.03,0.04,LOITER,41.117
21,42,15.797,92,14.09,0.02,0.02,NULL,NULL,305,-0.0135991,-0.954797,0.0102113,2.49,37.5993983,126.8635581,NULL,NULL,0.07,-0.07,0.04,LOITER,43.1264
22,44,15.799,92,14.18,0.1,0.1,NULL,NULL,305,-0.0136309,-0.95652,0.00470689,2.49,37.5993983,126.8635578,NULL,NULL,0.1,-0.03,0.04,LOITER,45.1378
23,46,15.774,92,13.64,0.08,0.08,NULL,NULL,305,-0.0107699,-0.955337,0.00189753,2.51,37.5993991,126.8635582,NULL,NULL,0.1,-0.06,0.01,LOITER,47.1542
24,48,15.764,91,13.99,0.03,0.03,NULL,NULL,305,-0.0117955,-0.954494,-0.0061483,2.54,37.5993996,126.8635587,NULL,NULL,0.01,-0.06,0,LOITER,49.1666
25,50,15.748,91,14.12,0.08,0.08,NULL,NULL,304,-0.0183281,-0.961672,0.0158559,2.52,37.5993989,126.8635581,NULL,NULL,0.01,-0.12,0.02,LOITER,51.1791
26,52,15.773,91,14.33,0.14,0.14,NULL,NULL,305,0.00105681,-0.949774,0.0101691,2.55,37.5993988,126.863557,NULL,NULL,0.16,-0.05,0,LOITER,53.1935
27,54,15.718,91,15.14,0.07,0.07,NULL,NULL,305,-0.00499537,-0.949133,-0.000447483,2.53,37.5993995,126.8635574,NULL,NULL,0.09,0.05,0.02,LOITER,55.2069
28,56,15.717,91,13.87,0.05,0.05,NULL,NULL,305,-0.0211137,-0.95262,0.00171544,2.58,37.5993998,126.8635582,NULL,NULL,-0.07,-0.04,-0.02,LOITER,57.2213
29,58,15.697,91,14.38,0.08,0.08,NULL,NULL,305,-0.00549461,-0.954621,-0.00743061,2.53,37.5993995,126.8635577,NULL,NULL,0,-0.06,0.03,LOITER,59.2367
30,60,15.688,90,14.18,0.04,0.04,NULL,NULL,305,-0.0152811,-0.950468,-0.0191051,2.54,37.5993996,126.8635581,NULL,NULL,0.01,-0.02,0,LOITER,61.2491
31,62,15.679,90,14.05,0.11,0.11,NULL,NULL,305,-0.00982403,-0.951411,-0.00930457,2.54,37.5993995,126.8635577,NULL,NULL,0.02,-0.02,0.01,LOITER,63.2626
32,64,15.675,90,13.82,0.06,0.06,NULL,NULL,305,-0.0174312,-0.949559,-0.00992886,2.56,37.5993987,126.8635573,NULL,NULL,0.08,0,-0.01,LOITER,65.278
33,66,15.666,90,14.32,0.02,0.02,NULL,NULL,305,-0.0112688,-0.951672,-0.0112628,2.54,37.599399,126.8635569,NULL,NULL,0.02,-0.01,0.02,LOITER,67.2904
34,68,15.637,90,14.29,0.05,0.05,NULL,NULL,305,-0.0123132,-0.950812,-0.0087604,2.52,37.5993991,126.863557,NULL,NULL,0.02,-0.03,0.05,LOITER,69.3058
35,70,15.639,90,14.3,0.09,0.09,NULL,NULL,305,-0.00665686,-0.954224,-0.0156994,2.52,37.5993995,126.8635573,NULL,NULL,0.08,0.01,0.03,LOITER,71.3172
36,72,15.633,90,13.92,0.03,0.03,NULL,NULL,305,-0.023101,-0.949032,-0.00553115,2.56,37.5993985,126.8635583,NULL,NULL,0.09,-0.04,0,LOITER,73.3297
37,74,15.627,89,14.25,0.08,0.08,NULL,NULL,305,-0.0206518,-0.952,-0.0064275,2.53,37.5993988,126.8635583,NULL,NULL,0.05,-0.08,0.01,LOITER,75.3411
38,76,15.616,89,14.11,0.15,0.15,NULL,NULL,305,-0.010994,-0.95049,-0.0242901,2.57,37.5993992,126.8635578,NULL,NULL,0.08,-0.02,-0.01,LOITER,77.3534
39,78,15.609,89,14.15,0.04,0.04,NULL,NULL,305,-0.012485,-0.950015,-0.00540596,2.57,37.5993996,126.8635571,NULL,NULL,-0.05,-0.01,-0.02,LOITER,79.3648
40,80,15.617,89,13.71,0.02,0.02,NULL,NULL,305,-0.0187926,-0.950447,-0.0177804,2.58,37.5993998,126.8635578,NULL,NULL,-0.03,-0.03,-0.02,LOITER,81.3753
41,82,15.6,89,14.49,0.02,0.02,NULL,NULL,305,-0.0262863,-0.95173,-0.0194578,2.53,37.5993994,126.863558,NULL,NULL,-0.02,-0.06,0.02,LOITER,83.3887
42,84,15.568,88,14.16,0.09,0.09,NULL,NULL,305,-0.012095,-0.947886,-0.0210412,2.59,37.5994,126.8635578,NULL,NULL,0.04,-0.05,-0.01,LOITER,85.4021
43,86,15.579,88,14.38,0.11,0.11,NULL,NULL,305,-0.0147318,-0.946291,0.0108449,2.57,37.5993987,126.8635562,NULL,NULL,-0.03,-0.01,0,LOITER,87.4155
44,88,15.574,88,14.19,0.01,0.01,NULL,NULL,305,-0.00497781,-0.953252,-0.00484323,2.54,37.5993981,126.8635558,NULL,NULL,0,0,0.01,LOITER,89.432
45,90,15.574,88,13.85,0.08,0.08,NULL,NULL,305,-0.02017,-0.950186,0.0079454,2.55,37.5993978,126.863557,NULL,NULL,0.07,0,0,LOITER,91.4454
46,92,15.554,88,13.93,0.05,0.05,NULL,NULL,305,-0.0254028,-0.95732,-0.00213248,2.58,37.5993983,126.8635583,NULL,NULL,0.05,-0.06,-0.02,LOITER,93.4598
47,94,15.556,88,14.11,0.05,0.05,NULL,NULL,305,-0.0199377,-0.959864,0.001093,2.56,37.5993986,126.8635573,NULL,NULL,0.05,0,0,LOITER,95.4802
48,96,15.532,88,14.11,0.06,0.06,NULL,NULL,305,-0.0264185,-0.956038,0.00476051,2.56,37.5993989,126.863557,NULL,NULL,0.01,0.02,-0.01,LOITER,97.4946
