id,voltage,battery_remaining,current_drawn,ground_speed,air_speed,nav_roll,nav_pitch,nav_bearing,pitch,yaw,roll,alt,lat,lon,payload,distance_frm_home,velocity_x,velocity_y,velocity_z,mode,flight_time
272,16.441,96,0.59,0.01,0.01,NULL,NULL,301,-0.0233281,-1.02014,0.0297777,0.78,37.5994092,126.8635489,NULL,NULL,0.08,-0.03,0,LOITER,2.51565
273,16.44,96,0.59,0.04,0.04,NULL,NULL,301,-0.0229783,-1.02012,0.0296057,0.76,37.5994097,126.8635473,NULL,NULL,0.08,-0.04,0,LOITER,4.54691
274,16.44,96,0.59,0.01,0.01,NULL,NULL,301,-0.0221744,-1.02025,0.0293262,0.75,37.5994101,126.8635457,NULL,NULL,0.08,-0.02,-0.01,LOITER,6.57818
275,16.44,96,0.59,0.02,0.02,NULL,NULL,301,-0.0217395,-1.0203,0.0296385,0.77,37.5994108,126.8635446,NULL,NULL,0.06,-0.02,0,LOITER,8.59378
276,16.44,96,0.59,0.01,0.01,NULL,NULL,301,-0.0219514,-1.0201,0.0299749,0.79,37.5994116,126.8635436,NULL,NULL,0.06,-0.01,0,LOITER,10.6095
277,16.44,96,0.59,0.01,0.01,NULL,NULL,301,-0.0220277,-1.02043,0.0305251,0.84,37.5994121,126.8635428,NULL,NULL,0.08,-0.02,0.01,LOITER,12.6095
278,16.44,96,0.58,0.03,0.03,NULL,NULL,301,-0.0221094,-1.02049,0.0304959,0.86,37.5994126,126.8635423,NULL,NULL,0.08,-0.01,0.01,LOITER,14.6251
279,16.439,96,0.59,0.02,0.02,NULL,NULL,301,-0.021992,-1.02074,0.0300866,0.85,37.5994128,126.8635421,NULL,NULL,0.07,-0.01,0,LOITER,16.6251
280,16.439,96,0.59,0.03,0.03,NULL,NULL,301,-0.0219345,-1.02093,0.0298648,0.84,37.599413,126.8635418,NULL,NULL,0.07,-0.01,0,LOITER,18.6408
281,16.44,96,0.59,0.02,0.02,NULL,NULL,301,-0.0219701,-1.02091,0.0297237,0.85,37.5994131,126.8635417,NULL,NULL,0.07,-0.01,0,LOITER,20.6564
282,16.413,96,1.49,0.03,0.03,NULL,NULL,301,-0.0217706,-1.02103,0.0299454,-0.01,37.5994138,126.863541,NULL,NULL,0.09,-0.03,-0.01,LOITER,22.6564
283,15.795,96,21.04,0.02,0.02,NULL,NULL,301,0.0155299,-1.01684,0.0204743,-0.02,37.5994138,126.8635403,NULL,NULL,0.11,0,0.22,LOITER,24.672
284,15.763,96,21.66,0.01,0.01,NULL,NULL,301,-0.00908801,-1.02489,-0.00372483,1.68,37.5994139,126.8635418,NULL,NULL,0.1,-0.08,0.84,LOITER,26.6721
285,15.813,96,21.6,0.15,0.15,NULL,NULL,296,-0.0253772,-1.10925,0.0168508,2.33,37.5994124,126.8635416,NULL,NULL,0.16,-0.06,-0.32,LOITER,28.6877
286,15.66,96,21.71,0.14,0.14,NULL,NULL,286,-0.00839516,-1.29056,0.00827579,2.08,37.5994132,126.8635414,NULL,NULL,0.14,-0.11,0,LOITER,30.7033
287,15.667,95,20.72,0.12,0.12,NULL,NULL,303,-0.0203758,-0.987801,0.0130764,2.13,37.5994123,126.8635414,NULL,NULL,0.13,-0.02,-0.05,LOITER,32.7034
288,15.592,95,21.58,0.21,0.21,NULL,NULL,308,-0.0233446,-0.900074,0.0552076,2.08,37.5994136,126.8635439,NULL,NULL,0.38,0.12,0,LOITER,34.7034
289,15.555,95,21.57,0.11,0.11,NULL,NULL,308,-0.0635779,-0.902779,0.0142889,2.05,37.5994154,126.8635448,NULL,NULL,0.14,-0.14,0,LOITER,36.7189
