id,voltage,battery_remaining,current_drawn,ground_speed,air_speed,nav_roll,nav_pitch,nav_bearing,pitch,yaw,roll,alt,lat,lon,payload,distance_frm_home,velocity_x,velocity_y,velocity_z,mode,flight_time
2,12.242,98,24.59,0.17,0.17,NULL,NULL,7,-0.0291553,0.13753,0.078338,9.87,37.5994471,126.8635027,NULL,NULL,-0.02,0.22,0.09,GUIDED,37.2129
3,12.242,97,25.42,0.69,0.69,NULL,NULL,36,-0.106585,0.628739,0.100814,9.93,37.5994475,126.8635071,NULL,NULL,0.12,0.83,0.05,GUIDED,38.2238
4,12.193,97,28.16,1.18,1.18,NULL,NULL,65,-0.146804,1.13696,0.0196477,9.97,37.5994496,126.8635202,NULL,NULL,0.36,1.41,0.02,GUIDED,39.2348
5,12.242,97,25.67,1.82,1.82,NULL,NULL,72,-0.218302,1.2655,-0.0214049,9.98,37.5994531,126.8635342,NULL,NULL,0.72,1.87,0.01,GUIDED,40.2458
6,12.242,97,26.25,2.49,2.49,NULL,NULL,71,-0.263651,1.24465,0.0164312,9.97,37.5994584,126.8635526,NULL,NULL,0.89,2.48,0,GUIDED,41.2557
7,12.193,97,26.67,3.04,3.04,NULL,NULL,72,-0.304721,1.26181,-0.000267867,9.97,37.5994646,126.8635762,NULL,NULL,1.05,3.1,0.01,GUIDED,42.2647
8,12.193,96,26.92,3.95,3.95,NULL,NULL,71,-0.36163,1.24927,0.006153,9.97,37.5994748,126.8636156,NULL,NULL,1.35,3.94,0.01,GUIDED,43.2737
9,12.193,96,27.5,4.71,4.71,NULL,NULL,71,-0.392324,1.25542,0.00781319,9.96,37.5994841,126.8636513,NULL,NULL,1.56,4.58,0.01,GUIDED,44.2856
10,12.193,96,27.75,5.22,5.22,NULL,NULL,72,-0.409774,1.26017,0.00281588,9.96,37.5994946,126.863692,NULL,NULL,1.73,5.11,0.02,GUIDED,45.2946
11,12.193,96,27.91,5.79,5.79,NULL,NULL,71,-0.431366,1.2538,0.00567305,9.96,37.5995061,126.8637366,NULL,NULL,1.9,5.55,0.02,GUIDED,46.3046
12,12.193,96,28.41,6.06,6.06,NULL,NULL,71,-0.446146,1.25221,0.0110951,9.96,37.5995186,126.8637847,NULL,NULL,2.03,5.98,0.02,GUIDED,47.3155
13,12.193,96,28.58,6.56,6.56,NULL,NULL,71,-0.469196,1.25439,0.0121853,9.96,37.5995318,126.8638364,NULL,NULL,2.14,6.38,0.03,GUIDED,48.3295
14,12.193,95,28.66,7.1,7.1,NULL,NULL,71,-0.482116,1.25489,0.00898846,9.95,37.5995456,126.8638912,NULL,NULL,2.24,6.73,0.03,GUIDED,49.3405
15,12.193,95,28.99,7.38,7.38,NULL,NULL,71,-0.495968,1.24919,0.0102871,9.95,37.5995602,126.8639487,NULL,NULL,2.35,7.03,0.03,GUIDED,50.3494
16,12.193,95,29.24,7.73,7.73,NULL,NULL,71,-0.506036,1.25328,0.0101062,9.95,37.5995754,126.8640086,NULL,NULL,2.42,7.33,0.03,GUIDED,51.3594
17,12.193,95,29.49,8.09,8.09,NULL,NULL,72,-0.517969,1.25794,0.0020015,9.95,37.5995964,126.8640918,NULL,NULL,2.52,7.63,0.03,GUIDED,52.3684
18,12.193,95,29.82,8.29,8.29,NULL,NULL,72,-0.526955,1.26069,-0.00401241,9.95,37.599613,126.8641562,NULL,NULL,2.62,7.84,0.03,GUIDED,53.3784
19,12.193,94,29.49,8.56,8.56,NULL,NULL,71,-0.529498,1.24976,0.00957259,9.95,37.5996361,126.8642443,NULL,NULL,2.7,8.06,0.03,GUIDED,54.3883
20,12.193,94,29.82,8.74,8.74,NULL,NULL,72,-0.540649,1.26096,-0.0017853,9.96,37.5996596,126.8643344,NULL,NULL,2.7,8.23,0.03,GUIDED,55.3983
21,12.143,94,30.07,8.89,8.89,NULL,NULL,72,-0.546463,1.25696,0.00055856,9.96,37.5996778,126.864403,NULL,NULL,2.76,8.36,0.02,GUIDED,56.4083
22,12.143,94,30.07,9.01,9.01,NULL,NULL,71,-0.550586,1.25011,0.00733895,9.96,37.5996963,126.8644728,NULL,NULL,2.79,8.5,0.03,GUIDED,57.4202
23,12.143,94,30.07,9.17,9.17,NULL,NULL,72,-0.551848,1.25981,-0.00164341,9.96,37.5997214,126.8645673,NULL,NULL,2.82,8.63,0.03,GUIDED,58.4302
24,12.143,93,30.07,9.24,9.24,NULL,NULL,71,-0.556154,1.25249,0.00224704,9.97,37.5997405,126.8646388,NULL,NULL,2.83,8.7,0.02,GUIDED,59.4392
25,12.143,93,30.32,9.33,9.33,NULL,NULL,72,-0.556825,1.25865,-0.000419481,9.97,37.5997662,126.864735,NULL,NULL,2.85,8.81,0.02,GUIDED,60.4511
26,12.143,93,30.32,9.38,9.38,NULL,NULL,72,-0.559523,1.2608,-0.00312045,9.97,37.5997858,126.8648076,NULL,NULL,2.86,8.85,0.02,GUIDED,61.4601
27,12.143,93,30.32,9.44,9.44,NULL,NULL,72,-0.563945,1.25967,-0.00393068,9.98,37.5998054,126.8648805,NULL,NULL,2.89,8.91,0.01,GUIDED,62.4721
28,12.143,93,30.24,9.5,9.5,NULL,NULL,71,-0.567126,1.24474,0.0132992,9.98,37.5998253,126.8649539,NULL,NULL,2.88,8.99,0.01,GUIDED,63.482
29,12.143,92,30.32,9.55,9.55,NULL,NULL,71,-0.565231,1.25349,0.00823132,9.98,37.599845,126.8650279,NULL,NULL,2.85,9.03,0.01,GUIDED,64.494
30,12.143,92,30.32,9.57,9.57,NULL,NULL,71,-0.569332,1.25247,0.00242674,9.99,37.5998648,126.865102,NULL,NULL,2.88,9.04,0,GUIDED,65.505
31,12.143,92,30.57,9.62,9.62,NULL,NULL,71,-0.573885,1.2564,0.00116677,9.98,37.5998848,126.8651764,NULL,NULL,2.9,9.09,0,GUIDED,66.5159
32,12.143,92,30.57,9.7,9.7,NULL,NULL,72,-0.572469,1.25949,0.00450615,9.99,37.5999116,126.8652762,NULL,NULL,2.9,9.15,0,GUIDED,67.5259
33,12.143,92,30.32,9.74,9.74,NULL,NULL,71,-0.573074,1.24696,0.0123572,9.99,37.5999382,126.8653767,NULL,NULL,2.89,9.19,0,GUIDED,68.5359
34,12.143,91,30.57,9.75,9.75,NULL,NULL,71,-0.573685,1.25251,0.0101342,9.99,37.5999646,126.8654776,NULL,NULL,2.85,9.22,0,GUIDED,69.5468
35,12.143,91,30.57,9.76,9.76,NULL,NULL,72,-0.576257,1.25769,-0.00318681,10,37.5999842,126.8655534,NULL,NULL,2.86,9.25,0,GUIDED,70.5588
36,12.143,91,30.57,9.78,9.78,NULL,NULL,71,-0.577016,1.24907,0.0070306,10,37.6000041,126.8656294,NULL,NULL,2.88,9.27,0,GUIDED,71.5708
37,12.143,91,30.65,9.82,9.82,NULL,NULL,71,-0.577627,1.25541,0.00293077,10,37.600024,126.8657055,NULL,NULL,2.89,9.3,0,GUIDED,72.5807
38,12.143,91,30.41,9.84,9.84,NULL,NULL,71,-0.576218,1.25131,0.00652635,10.01,37.6000507,126.8658072,NULL,NULL,2.89,9.3,0,GUIDED,73.5907
39,12.143,90,30.41,9.84,9.84,NULL,NULL,71,-0.578776,1.25508,0.00443647,10.01,37.6000707,126.8658835,NULL,NULL,2.87,9.31,-0.01,GUIDED,74.6047
40,12.143,90,30.49,9.85,9.85,NULL,NULL,71,-0.57997,1.24911,0.00826402,10.01,37.6000972,126.8659855,NULL,NULL,2.89,9.35,-0.01,GUIDED,75.6147
41,12.143,90,30.49,9.87,9.87,NULL,NULL,72,-0.579746,1.25697,0.000651982,10.01,37.6001238,126.8660877,NULL,NULL,2.89,9.36,-0.01,GUIDED,76.6266
42,12.143,90,30.49,9.87,9.87,NULL,NULL,71,-0.577109,1.25627,-0.000112341,10.01,37.6001371,126.8661389,NULL,NULL,2.92,9.36,-0.01,GUIDED,77.6366
43,12.143,90,30.65,9.86,9.86,NULL,NULL,72,-0.578856,1.26253,-0.000480845,10.01,37.6001571,126.8662155,NULL,NULL,2.92,9.35,-0.01,GUIDED,78.6466
44,12.143,89,30.57,9.87,9.87,NULL,NULL,72,-0.577278,1.26057,-0.00230068,10.01,37.6001704,126.8662666,NULL,NULL,2.93,9.35,-0.01,GUIDED,79.6585
45,12.143,89,30.41,9.86,9.86,NULL,NULL,71,-0.582255,1.2497,0.00924364,10.02,37.6001903,126.8663431,NULL,NULL,2.91,9.34,-0.02,GUIDED,80.6705
46,12.143,89,30.57,9.88,9.88,NULL,NULL,71,-0.584775,1.24809,0.0137582,10.02,37.6002099,126.8664197,NULL,NULL,2.88,9.39,-0.02,GUIDED,81.6805
47,12.143,89,30.49,9.93,9.93,NULL,NULL,71,-0.584357,1.25574,-0.00203359,10.01,37.600236,126.8665226,NULL,NULL,2.89,9.41,-0.01,GUIDED,82.6914
48,12.143,89,30.65,9.94,9.94,NULL,NULL,72,-0.584263,1.25757,-0.000997094,10.01,37.6002559,126.8665997,NULL,NULL,2.93,9.41,-0.01,GUIDED,83.7014
49,12.143,88,30.57,9.95,9.95,NULL,NULL,71,-0.580837,1.25526,-0.00101718,10.01,37.6002758,126.866677,NULL,NULL,2.95,9.42,-0.01,GUIDED,84.7144
50,12.143,88,30.49,9.94,9.94,NULL,NULL,71,-0.579548,1.25343,0.00415769,10.01,37.6002892,126.8667284,NULL,NULL,2.94,9.4,-0.01,GUIDED,85.7253
51,12.143,88,30.65,9.94,9.94,NULL,NULL,71,-0.586761,1.256,0.00134653,10.01,37.6003158,126.8668311,NULL,NULL,2.93,9.4,-0.01,GUIDED,86.7373
52,12.143,88,30.41,9.96,9.96,NULL,NULL,71,-0.582639,1.25023,0.00787956,10.01,37.6003358,126.8669084,NULL,NULL,2.93,9.42,-0.01,GUIDED,87.7483
53,12.143,88,30.82,9.97,9.97,NULL,NULL,71,-0.586583,1.2537,0.00327222,10,37.6003622,126.8670117,NULL,NULL,2.93,9.44,-0.01,GUIDED,88.7602
